date,customer_name,phone,receipt_no,barcode,product_name,quantity,amount
2026-05-30 20:24:46,Fatso,782905789.0,20260530202446,11,gango,3,3.0
2026-05-31 18:11:10,Mbawa,782905789.0,20260531181110,11,gango,4,4.0
2026-06-06 20:20:13,Mbawa,,20260606202012,11,gango,4,4.0
2026-06-06 20:21:29,Chingaona,782905853.0,20260606202129,11,gango,4,4.0
2026-06-06 20:37:57,Chingaona,782905853.0,20260606203757,11,gango,31,31.0
2026-06-08 19:48:42,Mbewe,713955305.0,20260608194842,1167,Spuds,80,80.0
2026-06-10 10:56:14,Chingaona,,20260610105614,11,gango,3,3.0
2026-06-10 10:58:01,Chingaona,,20260610105801,11,gango,1,1.0
2026-06-10 12:16:42,Chingaona,782905853.0,20260610121642,1167,Spuds,4,4.0
2026-06-10 12:17:58,Chingaona,782905853.0,20260610121758,1167,Spuds,1,1.0
2026-06-10 12:21:06,Chingaona,782905853.0,20260610122106,1167,Spuds,1,1.0
2026-06-10 14:06:19,Mbewe,,20260610140619,1167,Spuds,2,2.0
2026-06-11 08:57:12,King Chingaona,782905853.0,20260611085712,1167,Spuds,1,1.0
2026-06-11 09:06:17,King Chingaona,713955305.0,20260611090617,1167,Spuds,1,1.0
2026-06-12 08:56:53,Walker,771234567.0,20260612085653,1167,Spuds,1,1.0
2026-06-12 12:15:01,Walker,771234567.0,20260612121501,1167,Spuds,1,1.0
2026-06-13 11:39:39,Tonde,773161336.0,20260613113939,1167,Spuds,2,2.0
2026-06-15 09:56:01,Walker,,20260615095601,1167,Spuds,4,4.0
2026-06-15 12:13:39,Day,771234567.0,20260615121339,1167,Spuds,1,1.0
2026-06-15 20:20:30,Day,,20260615202030,MAN-20260615201644499865,Cooking Oil,1,3.9
2026-06-15 20:27:11,Day,,20260615202711,MAN-20260615201644499865,Cooking Oil,1,3.9
